timestamp,mood,song,Temperature,Humidity,MQ-2,BH1750FVI,Radar,Ultrasonic
2023-07-03 19:46:16,2,2,85.4,75.3,OK,258.5,0,71.1
2023-07-25 02:46:08,3,2,77.7,72.4,OK,28.4,1,62.7
2023-07-30 04:05:43,6,0,84.1,25.3,OK,844.2,1,101.0
2023-07-17 07:09:28,4,0,84.3,66.9,OK,301.2,0,118.5
2023-07-19 15:59:06,4,3,85.9,30.5,OK,547.2,0,112.7
2023-07-25 14:13:53,6,2,76.8,38.1,OK,803.0,0,170.4
2023-07-06 10:11:55,5,2,70.1,60.3,N_OK,642.1,0,81.3
2023-07-06 17:52:19,4,2,85.3,43.4,OK,326.2,1,136.3
2023-07-22 15:24:04,4,1,76.0,41.1,OK,507.9,0,77.6
2023-07-22 03:50:20,5,1,89.5,33.2,OK,771.5,0,112.7
2023-07-18 09:01:29,4,2,71.4,70.4,OK,415.1,1,75.8
2023-07-25 13:28:51,6,0,84.2,67.2,OK,295.7,1,59.1
2023-07-14 16:09:30,6,3,77.1,41.5,N_OK,509.6,1,60.1
2023-07-13 23:13:19,1,2,86.1,63.3,OK,946.4,0,90.8
2023-07-26 22:42:20,3,0,85.3,33.6,N_OK,171.0,1,176.3
2023-07-24 18:02:53,3,0,90.6,54.4,OK,461.1,1,105.7
2023-07-04 20:35:04,2,3,84.8,63.7,OK,352.3,1,193.6
2023-07-28 04:51:15,2,1,94.5,58.1,OK,959.1,0,107.7
2023-07-02 18:41:52,5,0,83.1,67.5,OK,766.4,0,111.2
2023-07-06 12:12:33,2,0,67.2,68.7,OK,663.4,0,117.0
2023-07-28 03:06:51,4,3,72.2,20.1,OK,10.4,0,134.5
2023-07-06 04:08:36,2,1,89.2,76.7,OK,798.3,1,191.4
2023-07-21 00:29:40,2,0,68.5,27.1,OK,689.4,0,190.0
2023-07-29 03:49:27,4,1,85.8,57.5,OK,35.3,0,128.4
2023-07-20 08:09:08,2,0,67.4,72.2,OK,500.1,1,141.0
2023-07-23 07:39:20,4,0,89.9,79.1,OK,564.6,1,99.9
2023-07-30 13:09:00,4,0,90.3,44.1,OK,217.8,0,145.2
2023-07-19 07:16:23,3,1,65.2,65.8,OK,991.1,0,152.2
2023-07-17 23:16:45,3,3,87.2,23.8,OK,654.6,1,198.5
2023-07-24 21:25:49,4,0,70.7,68.6,OK,358.5,0,148.6
2023-07-30 10:18:00,4,1,91.3,62.6,OK,922.3,1,136.6
2023-07-03 17:38:50,2,2,68.2,63.5,OK,120.4,1,142.8
2023-07-10 15:29:45,5,3,94.9,46.7,OK,221.9,0,153.2
2023-07-04 22:23:24,2,3,66.9,49.4,OK,160.7,1,65.7
2023-07-16 06:11:06,3,3,72.3,70.5,OK,698.4,1,127.2
2023-07-02 09:34:16,5,2,94.0,27.3,OK,566.0,0,89.5
2023-07-09 21:21:23,6,3,74.6,60.5,OK,42.3,0,59.1
2023-07-20 13:47:58,6,1,78.0,38.7,OK,153.2,0,72.7
2023-07-01 00:50:27,4,2,88.7,28.6,OK,49.5,1,176.8
2023-07-25 17:59:09,5,1,92.9,49.1,N_OK,640.5,0,79.2
2023-07-04 03:51:47,3,0,83.0,39.0,OK,279.9,0,74.1
2023-07-30 09:54:03,4,3,79.4,31.4,OK,191.4,0,148.7
2023-07-26 13:58:41,4,1,75.1,42.8,OK,135.8,1,156.9
2023-07-26 15:43:36,6,2,75.9,55.2,N_OK,637.1,0,160.4
2023-07-03 14:56:36,4,0,79.7,44.8,OK,820.9,0,168.4
2023-07-06 01:40:52,2,2,87.9,33.8,OK,145.2,1,167.5
2023-07-17 12:17:32,3,1,91.6,34.2,OK,570.0,0,165.1
2023-07-03 19:22:04,2,2,65.5,40.8,OK,371.8,1,146.1
2023-07-04 23:47:38,3,2,80.7,32.3,OK,638.3,0,91.7
2023-07-17 11:42:20,2,0,78.2,75.5,OK,357.6,0,160.9
2023-07-28 01:19:18,1,1,90.1,77.1,N_OK,830.2,0,182.4
2023-07-17 12:37:00,5,1,82.0,67.2,OK,765.6,1,58.9
2023-07-18 08:21:49,2,0,73.0,63.3,OK,454.8,1,87.9
2023-07-16 11:59:37,2,2,91.8,44.1,OK,893.0,1,58.9
2023-07-24 21:25:03,5,2,71.0,48.4,OK,67.9,1,72.2
2023-07-29 13:45:23,3,1,83.8,25.5,OK,451.4,1,70.8
2023-07-01 03:47:02,3,3,91.0,22.6,OK,437.0,1,105.4
2023-07-07 10:56:16,2,2,73.6,52.4,OK,428.5,0,181.7
2023-07-25 13:01:20,6,0,85.0,78.3,OK,386.6,1,146.9
2023-07-05 21:02:35,3,1,83.0,76.1,OK,577.8,0,114.7
2023-07-19 23:20:16,3,3,85.4,51.2,OK,404.1,0,120.5
2023-07-05 18:25:23,2,3,84.2,28.9,OK,338.2,0,75.0
2023-07-19 02:03:36,2,2,84.2,43.3,OK,196.3,0,178.3
2023-07-22 19:06:17,2,0,77.6,71.8,OK,533.3,1,184.5
2023-07-12 11:52:31,2,1,66.2,55.7,OK,542.1,0,140.6
2023-07-22 00:47:25,1,3,79.8,72.9,OK,849.5,0,110.2
2023-07-19 16:25:19,5,3,90.1,78.6,OK,910.3,0,75.7
2023-07-01 18:28:17,4,3,90.5,23.4,OK,775.7,0,106.6
2023-07-21 16:28:02,3,3,85.7,37.3,OK,546.2,1,167.1
2023-07-20 11:56:25,4,3,85.6,51.0,OK,281.0,1,111.9
2023-07-16 09:55:22,4,3,78.7,71.2,OK,474.8,0,176.9
2023-07-23 10:54:17,1,1,86.5,67.0,OK,68.6,0,94.5
2023-07-06 13:32:00,4,2,84.1,51.1,OK,869.8,1,170.1
2023-07-26 06:41:28,4,1,89.9,75.9,OK,736.3,0,129.9
2023-07-12 16:51:54,4,0,73.1,38.5,OK,771.7,1,158.9
2023-07-08 14:16:32,5,1,77.4,33.6,OK,132.2,0,180.1
2023-07-22 15:23:13,5,1,87.3,34.2,OK,333.3,0,80.2
2023-07-23 07:10:45,3,1,82.2,25.8,OK,50.4,0,101.9
2023-07-10 03:48:37,2,2,91.7,37.6,OK,165.5,0,109.7
2023-07-18 16:08:23,3,0,86.4,59.8,OK,422.3,0,81.4
2023-07-28 17:57:45,5,3,84.6,48.0,OK,820.9,0,132.6
2023-07-12 15:13:15,2,2,91.2,75.4,OK,496.1,1,70.0
2023-07-03 03:24:08,3,3,84.6,56.2,OK,859.4,1,186.2
2023-07-06 09:28:10,3,0,78.2,48.8,OK,840.9,1,60.1
2023-07-06 18:12:10,4,0,73.3,30.0,OK,478.7,1,138.0
2023-07-08 02:08:19,1,0,89.0,63.1,OK,294.3,1,79.5
2023-07-01 01:38:19,3,0,85.0,79.7,OK,178.8,0,50.9
2023-07-13 15:12:14,6,2,73.7,34.0,OK,260.4,1,81.8
2023-07-24 15:48:49,5,1,89.7,29.7,OK,676.0,1,123.7
2023-07-03 01:39:16,2,3,66.7,72.4,N_OK,568.1,0,56.5
2023-07-30 17:54:34,6,0,78.8,56.1,OK,746.4,0,92.8
2023-07-19 16:23:45,5,0,87.9,22.8,OK,699.3,1,162.5
2023-07-05 22:29:37,3,0,77.1,62.5,OK,633.7,0,164.5
